url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,id iklan,kt. pembantu,km. pembantu,tahun dibangun,kondisi properti,carport,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation
https://www.rumah123.com/properti/jakarta-utara/hos10402099/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"2,3",Miliar,Dijual Rumah Pik 2 6x12.5 HARGA MURAH!!!!,"Pantai Indah Kapuk, Jakarta Utara","Kolam Renang, Taman,  Jogging Track,  Keamanan, Jalur Telepon, AC,  Jalur Telepon, Ac,  CCTV, Track Lari, CCTV,  Taman",3,3,75 m²,100 m²,rumah,"lainnya (ppjb,girik,adat,dll)",4400 mah,2,hos10402099,1,1,,baru,1,1,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10391873/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,3,Miliar,Dijual Rumah Pik 2 6x15 TERMURAH!!!!,"Pantai Indah Kapuk, Jakarta Utara"," Jogging Track,  Ac,  Kolam Renang,  Jalur Telepon, Keamanan, CCTV,  Taman",3,3,90 m²,100 m²,rumah,"lainnya (ppjb,girik,adat,dll)",4400 mah,2,hos10391873,1,1,,baru,1,2,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10272724/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,4,Miliar,Cluster Danau Rumah Pik2 8X15 - Dekat Danau,"Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang, Jalur Telepon,  Jalur Telepon, Jogging Track, Track Lari, Keamanan,  Taman",3,3,120 m²,146 m²,rumah,,4400 mah,2,hos10272724,1,1,2021,baru,2,,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11136296/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,110,Miliar,Salah Satu Rumah Termewah Area Menteng. Ada Home Theatre,"Menteng, Jakarta Pusat",Kolam Renang,4,4,950 m²,1500 m²,rumah,shm - sertifikat hak milik,,3,hos11136296,,,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10864900/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"2,9",Miliar,Axel Jamin Termurah Se Planet Dp Sebelum Diambil Yang Lain Green Lake City Australia 8x15 2 Lantai SHM,"Green Lake City, Jakarta Barat",Keamanan,3,3,120 m²,120 m²,rumah,shm - sertifikat hak milik,4400 mah,2,hos10864900,1,1,,,2,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10865747/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"5,4",Miliar,Axel Super Mewah Termurah Dekat Danau Super Mewah Fully Renov Fully Furnished Green Lake 10x18 2 Lantai,"Green Lake City, Jakarta Barat",AC,4,3,180 m²,250 m²,rumah,shm - sertifikat hak milik,,2,hos10865747,1,1,,bagus sekali,,,furnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos10879472/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"2,6",Miliar,Terbaik High Quality Tanah Luas 100 Full Bata Merah di Rawamangun,"Rawamangun, Jakarta Timur","Taman,  Keamanan, Keamanan 24 jam,  One Gate System, Akses Parkir,  CCTV,  Taman, CCTV,  Playground, Tempat Jemuran,  Kolam Ikan",3,3,100 m²,135 m²,rumah,shm - sertifikat hak milik,3300 mah,2,hos10879472,1,1,2022,bagus,2,,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10992365/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,"4,7",Miliar,Dhyana Rumah Luas 225m2 di Komplek Kavling Polri,"Jelambar, Jakarta Barat",Jalur Telepon,1,1,225 m²,255 m²,rumah,hgb - hak guna bangunan,,1,hos10992365,,,,bagus,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos9889626/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,19,Miliar,Dijual Rumah Mewah Di Artha Gading Villa  Bagus Sekali,"Kelapa Gading, Jakarta Utara","Taman,  Jogging Track,  Keamanan, Jalur Telepon,  Ac,  Kolam Renang, Keamanan 24 jam, AC, Track Lari, CCTV,  Taman",,,,,rumah,,,,hos9889626,,,,,,,,,4,3,386 m²,1000 m²,4,shm - sertifikat hak milik,5500 mah,1,1,4,3,bagus sekali,semi furnished,barat daya
https://www.rumah123.com/properti/jakarta-timur/hos10121356/#qid~99812524-8f47-4db6-bf39-5ce0a95d8b67,Rp,640,Juta,Rumah Murah Di Pisangan Baru Jakarta Timur,"Cipinang, Jakarta Timur","Ac,  CCTV, Keamanan",2,2,36 m²,60 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10121356,,,2022,baru,1,,unfurnished,utara,,,,,,,,,,,,,,
