address,lat_long,gmaps_tag
"Green Ville, Jakarta Barat","(-6.1679095, 106.7712942)","Jl. Komp. Green Ville, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510"
"Puri Indah, Jakarta Barat","(-6.1866383, 106.7425049)","Jl. Puri Indah Raya, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610"
"Kembangan, Jakarta Barat","(-6.1911406, 106.741305)","Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Permata Hijau, Jakarta Selatan","(-6.2223439, 106.7862716)","Jl. Permata Hijau, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210"
"Meruya, Jakarta Barat","(-6.206715, 106.7328054)","Meruya Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Utan Kayu, Jakarta Timur","(-6.19623, 106.8678199)","Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta"
"Green Lake City, Jakarta Barat","(-6.1852561, 106.703769)","Jl. Green Lake City Boulevard, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Kalibata, Jakarta Selatan","(-6.2652874, 106.8391414)","Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Cakung, Jakarta Timur","(-6.185467, 106.9361121)","Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta"
"Cipete, Jakarta Selatan","(-6.2725851, 106.8055434)","Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Kebayoran Baru, Jakarta Selatan","(-6.243219, 106.8013404)","Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Kemang, Jakarta Selatan","(-6.2777833, 106.8114224)","Kemang, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Cinere, Jakarta Selatan","(-6.332401, 106.7907829)","Kec. Cinere, Kota Depok, Jawa Barat"
"Cempaka Putih, Jakarta Pusat","(-6.181269, 106.8670735)","Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta"
"Ampera, Jakarta Selatan","(-6.2836594, 106.819175)","Jl. Ampera Raya, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Jati Padang, Jakarta Selatan","(-6.2890659, 106.8308155)","Jati Padang, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Pos Pengumben, Jakarta Barat","(-6.2167348, 106.7685998)","Jl. Raya Pos Pengumben, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Palmerah, Jakarta Barat","(-6.1909945, 106.7963735)","Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Tanjung Duren, Jakarta Barat","(-6.175165, 106.784565)","Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Taman Grisenda, Jakarta Utara","(-6.1324614, 106.75678)","Jl. Perumahan Taman Grisenda, RW.3, Kapuk Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14460"
"Menteng, Jakarta Pusat","(-6.195169, 106.838157)","Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta"
"Rawamangun, Jakarta Timur","(-6.195829, 106.8821799)","Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta"
"Kelapa Gading, Jakarta Utara","(-6.1596905, 106.9005624)","Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta"
