url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,kondisi properti,kondisi perabotan,hadap,id iklan,tahun dibangun,bedrooms,bathrooms,land size,building size,carports,certificate,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation,electricity,building age
https://www.rumah123.com/properti/jakarta-pusat/hos11313860/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,"1,47",Miliar,Rumah Modern Elegan di Jalan Cempaka Putih Tengah Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","Taman, Keamanan",3,2,36 m²,68 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,,3,baru,unfurnished,utara,hos11313860,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos8192617/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,562,Juta,Rumah Murah di taman sari jakarta barat,"Tamansari, Jakarta Barat","Taman, Keamanan",2,2,22 m²,42 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,timur,hos8192617,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11141929/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,485,Juta,Cluster Minimalis SHM 2 Lantai di Kayumanis 8 Jakarta Timur,"Matraman, Jakarta Timur",One Gate System,2,2,25 m²,37 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,bagus,unfurnished,,hos11141929,2021,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11167172/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,477,Juta,Rumah Modern Harga Terjangkau SHM 2 Lantai di Sumur Batu,"Kemayoran, Jakarta Pusat",One Gate System,2,2,22 m²,40 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,bagus,unfurnished,,hos11167172,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11182376/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,"1,15",Miliar,Rumah Mewah Bergaya Eropa SHM 2 Lantai di Pal Merah Jakarta Barat,"Palmerah, Jakarta Barat","One Gate System, Tempat Jemuran, Akses Parkir",2,3,33 m²,62 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,1,2,bagus,unfurnished,,hos11182376,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11332642/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,5,Miliar,Rumah Mewah Full Renov Green Lake City 200m2,"Green Lake City, Jakarta Barat"," Kolam Renang,  Pemanas Air,  Taman,  Kitchen Set, Jalur Telepon,  Jogging Track,  Mesin Cuci,  CCTV, Track Lari,  Jalur Telepon, Kulkas,  AC, Wastafel,  Ac, CCTV, Tempat Jemuran, Keamanan, Lapangan Basket",4,3,200 m²,400 m²,2,rumah,shm - sertifikat hak milik,7700 mah,1,1,,2,bagus,semi furnished,,hos11332642,2018,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11332549/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,"8,5",Miliar,Rumah di jalan Boulevard jarang ada di Muara Karang blok 8,"Muara Karang, Jakarta Utara","Taman, Keamanan 24 jam,  Taman, Jalur Telepon,  Jalur Telepon, Ac, AC,  Keamanan, Tempat Jemuran",4,4,300 m²,346 m²,2,rumah,shm - sertifikat hak milik,4400 mah,1,1,1,2,butuh renovasi,unfurnished,selatan,hos11332549,1998,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11225802/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,"1,95",Miliar,Rumah Baru Murah Mewah Minimalis Modern Di Ciganjur Jagakarsa,"Ciganjur, Jakarta Selatan","Taman, Keamanan 24 jam, Kitchen Set, Kolam Renang,  Keamanan,  One Gate System, Tempat Jemuran",3,3,92 m²,150 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,baru,unfurnished,selatan,hos11225802,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos10211953/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,783,Juta,Rumah Murah Pisangan Baru Hanya 10 Menit Ke Stasiun Jatinegara,"Pulo Gadung, Jakarta Timur","CCTV, Taman, AC, Keamanan",2,2,32 m²,63 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,selatan,hos10211953,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos10024422/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,418,Juta,Rumah Murah Indent Kamboja Hanya 10 Menit Ke Rs Persahabatan,"Utan Kayu, Jakarta Timur","Taman, One Gate System, AC, Keamanan",2,2,18 m²,33 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,selatan,hos10024422,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11331826/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,1,Miliar,"Rumah Baru SHM di Catur Tunggal Kebon Nanas, Jakarta Timur","Jatinegara, Jakarta Timur","Taman, Keamanan 24 jam,  CCTV, AC,  One Gate System, CCTV",2,2,44 m²,90 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,selatan,hos11331826,2022,,,,,,,,,,,,,,,
