url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,km. pembantu,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,building age,property condition,furnishing,building orientation
https://www.rumah123.com/properti/tangerang/hos11083002/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"3,19",Miliar,JAMINAN AFTER SALES TERBAIK ! RUMAH MURAH DAN MODERN DI ALAM SUTERA,"Alam Sutera, Tangerang"," Keamanan,  Jogging Track, Ac,  Kolam Renang, Taman",3,2,124 m²,138 m²,2,rumah,,2200 mah,1,1,2,2021,baru,semi furnished,selatan,hos11083002,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos10472836/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"7,1",Miliar,Rumah Mewah Cluster Pasadena Gading Serpong Lokasi Strategis,"Gading Serpong, Tangerang"," Ac,  Taman, Jogging Track, Keamanan,  CCTV,  Kolam Renang,  Jalur Telepon",4,3,216 m²,283 m²,2,rumah,shm - sertifikat hak milik,5500 mah,1,1,2,2022,baru,unfurnished,selatan,hos10472836,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11043347/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"5,7",Miliar,Colinare Foresta BSD - Rumah Hoek Mewah,"BSD, Tangerang","CCTV,  Kolam Renang, Taman,  Keamanan",5,4,365 m²,400 m²,1,rumah,shm - sertifikat hak milik,4400 mah,1,,1,2012,bagus,unfurnished,timur,hos11043347,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11351749/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"7,5",Miliar,Sutera Olivia Rumah Bagus Fully Furnished Di Alam Sutera . Yl,"Alam Sutera, Tangerang","Jalur Telepon, Taman, Kitchen Set, AC",4,4,240 m²,450 m²,1,rumah,shm - sertifikat hak milik,,,,2,,bagus,furnished,,hos11351749,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11352111/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"1,8",Miliar,Rumah Dekat Cikokol di Buana Gardenia Bebas Banjir Harga All In Kpr,"Pinang, Tangerang","Taman, Keamanan 24 jam, Tempat Jemuran",3,2,144 m²,180 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,1,,bagus,unfurnished,,hos11352111,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11352543/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,895,Juta,Cluster Manis Harga Minimalis Bebas Banjir Ciledug Tangerang,"Ciledug, Tangerang","One Gate System, Keamanan 24 jam",3,2,50 m²,65 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,1,2022,baru,unfurnished,,hos11352543,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11349634/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,900,Juta,Rumah Minimalis Dekat Rawakalong di Taman Jasmine Mas Harga All In Kpr,"Rawakalong, Tangerang","Taman, Keamanan 24 jam, Tempat Jemuran",3,1,81 m²,81 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,1,,bagus,unfurnished,,hos11349634,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11342309/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"1,32",Miliar,Rumah Bebas Banjir di Komplek Sekneg Dekat Pinang Harga All In Kpr,"Pinang, Tangerang","Taman, Keamanan 24 jam, Tempat Jemuran",6,2,91 m²,170 m²,1,rumah,hgb - hak guna bangunan,2200 mah,,,2,,bagus,unfurnished,,hos11342309,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11341692/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"1,08",Miliar,Rumah Seken Modern Harga All In di Rawakalong Bebas Banjir Siap Kpr,"Rawakalong, Tangerang","Taman, Keamanan 24 jam, Tempat Jemuran",2,2,60 m²,65 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,2,,bagus,unfurnished,,hos11341692,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos10148727/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"1,68",Miliar,Rumah Bebas Banjir Dekat Alam Sutera di Buana Gardenia Harga All In Kpr,"Pinang, Tangerang","Keamanan, Taman",2,2,123 m²,105 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,1,2,,,unfurnished,,hos10148727,,,,,,,,,,,,,,,,
