url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,km. pembantu,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,id iklan,carport,hadap,garasi,kt. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,floors,building age,property condition,building orientation,garages,furnishing
https://www.rumah123.com/properti/bekasi/hos6902608/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,05",Miliar,Rumah 2 lantai kavling siap bangun dekat toll jatibening,"Bintara, Bekasi","Tempat Jemuran,  Ac,  Akses Parkir,  AC, Masjid, Kitchen Set, Keamanan 24 jam,  Taman,  CCTV, Taman, Wastafel,  Masjid, Jalur Telepon,  Keamanan",3,2,72 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,,hos6902608,1,barat,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos7886555/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,05",Miliar,Rumah 2 lantai lokasi jl jatibening raya Caman,"Jati Asih, Bekasi"," Jalur Telepon, Tempat Jemuran,  AC, Masjid, Kitchen Set, Keamanan 24 jam,  Taman,  CCTV, Ac, Taman, Wastafel,  Masjid, Jalur Telepon,  Keamanan",3,2,72 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,unfurnished,hos7886555,1,barat,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos7885076/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,05",Miliar,Hunian asri lokasi jatibening caman,"Jatibening, Bekasi"," Jalur Telepon,  Ac, Tempat Jemuran,  AC, Masjid, Kitchen Set, Keamanan 24 jam,  Taman,  CCTV, Taman, Wastafel,  Masjid, Jalur Telepon, Keamanan",3,2,72 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,,hos7885076,1,timur,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos9752164/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,05",Miliar,Rumah minimalis lokasi jatibening caman,"Jatibening, Bekasi"," Jalur Telepon,  Ac, Tempat Jemuran,  AC, Masjid, Kitchen Set, Keamanan 24 jam,  Taman,  CCTV, Kulkas, Taman, Jalur Telepon,  Keamanan",3,2,72 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,,hos9752164,1,timur,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11215517/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,350,Juta,Rumah Siap Huni Strategis di Setu Bekasi,"Setu, Bekasi","Tempat Jemuran,  Jogging Track, Lapangan Bola, Track Lari, Keamanan 24 jam, Kulkas, Taman,  Playground, One Gate System, Keamanan",2,1,60 m²,38 m²,rumah,shm - sertifikat hak milik,1300 mah,1,1,2022,baru,unfurnished,hos11215517,1,selatan,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11264033/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,18",Miliar,Rumah 2 Lantai Di Jalan mess AL Bekasi,"Jatisampurna, Bekasi","Tempat Jemuran, Track Lari,  Kolam Renang,  Taman, Taman, Wastafel, Jogging Track, Keamanan",3,3,84 m²,77 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2021,baru,furnished,hos11264033,1,barat,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11264032/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,18",Miliar,Rumah 2 Lantai Dekat Area Mabes TNI Cilangkap,"Jatirangga, Bekasi","Tempat Jemuran, Track Lari,  One Gate System,  Kolam Renang, Keamanan 24 jam,  Taman, Taman,  Playground, Wastafel, Jogging Track, Keamanan",3,3,84 m²,77 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2021,baru,unfurnished,hos11264032,1,barat,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10768164/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,62",Miliar,Rumah Mewah 2 Lantai Siap Huni di Jalan Villa Jaka Setia,"Jaka Setia, Bekasi"," AC, Masjid,  CCTV, Kulkas, Wastafel,  Pemanas Air, Tempat Jemuran, Lapangan Bulu Tangkis,  Akses Parkir,  One Gate System, Keamanan 24 jam,  Taman,  Tempat Laundry, Taman,  Playground,  Kitchen Set,  Mesin Cuci, Track Lari, Keamanan",3,3,118 m²,156 m²,rumah,shm - sertifikat hak milik,2200 mah,1,2,,bagus,furnished,hos10768164,2,selatan,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11095420/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,15",Miliar,Rumah Seken Terawat Siap Huni Lokasi Strategis Dekat Cibubur Siap Kpr Tol Jatikarya,"Jatisampurna, Bekasi","Tempat Jemuran, Lapangan Bulu Tangkis, Track Lari,  One Gate System,  AC, Kitchen Set, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV,  Playground, Wastafel, Jalur Telepon",2,1,90 m²,70 m²,rumah,shm - sertifikat hak milik,2200 mah,,1,2009,bagus,furnished,hos11095420,2,barat,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11266048/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,975,Juta,Rumah Anti Virus 2 lantai dalam cluster Elite di Jatiasih,"Jati Asih, Bekasi","Tempat Jemuran, Lapangan Bola,  Akses Parkir,  One Gate System, Track Lari,  Kolam Renang, Masjid, Keamanan 24 jam,  Taman, Kolam Renang,  CCTV, Taman, Wastafel, Jogging Track,  Masjid,  Keamanan",3,2,100 m²,70 m²,rumah,shm - sertifikat hak milik,1300 mah,,2,2022,baru,unfurnished,hos11266048,1,timur,,,,,,,,,,,,,,,,,
