url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,floors,building age,property condition,furnishing,building orientation,garasi,kt. pembantu,maid bedrooms,km. pembantu,garages,maid bathrooms
https://www.rumah123.com/properti/depok/hos11077245/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,"1,95",Miliar,Dijual Rumah Hook Di Permata Puri Laguna,"Cimanggis, Depok","Tempat Jemuran,  Mesin Cuci, Lapangan Bulu Tangkis, Track Lari,  One Gate System,  Kolam Renang,  AC, Masjid, Keamanan 24 jam,  Taman, Kulkas,  Playground, Wastafel,  Pemanas Air, Jalur Telepon,  Kitchen Set",2,2,158 mÂ²,90 mÂ²,,rumah,shm - sertifikat hak milik,2200 mah,1,2014,bagus,semi furnished,,hos11077245,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11077200/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,650,Juta,Dijual Rumah Siap Huni Dekat Tol Desari di Kavling Adhi Karya Pancoran Mas Depok,"Pancoran Mas, Depok","Tempat Jemuran, Lapangan Bola, Masjid, Akses Parkir,  Taman, Wastafel, AC, Jalur Telepon",2,1,75 mÂ²,45 mÂ²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2021,baru,unfurnished,timur,hos11077200,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11076087/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,"1,48",Miliar,Rumah Tropis 1km Tol Andara,"Cinere, Depok","Track Lari,  One Gate System, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV, Taman,  Playground, Wastafel, AC, Jalur Telepon",3,2,60 mÂ²,73 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,selatan,hos11076087,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos11074431/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,"5,7",Miliar,Rumah Bagus Harga Menarik Di Cinere Dekat MRT Lebak Bulus,"Cinere, Depok"," Jogging Track,  Kolam Renang, Ac, Taman,  Keamanan",4,4,246 mÂ²,320 mÂ²,2,rumah,shm - sertifikat hak milik,5500 mah,2,2017,bagus,semi furnished,timur,hos11074431,,,,,,,,,,,,,1,1,,1,,
https://www.rumah123.com/properti/depok/hos11349176/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,756,Juta,Rumah Murah di Tanah Baru Beji Dekat Kampus Ui Dan Exit Tol Depok,"Beji, Depok","Tempat Jemuran,  Jogging Track, Track Lari,  Taman, Jalur Telepon, Keamanan",2,2,60 mÂ²,51 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,timur,hos11349176,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos9731087/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,650,Juta,Grand Prestige Sawangan Rumah Exclusive Dp 0 Persen,"Sawangan, Depok","Tempat Jemuran,  Jogging Track, Track Lari,  Akses Parkir,  One Gate System,  AC, Masjid, Keamanan 24 jam,  Taman,  CCTV,  Playground, Wastafel,  Masjid, CCTV, Jalur Telepon,  Keamanan",3,1,72 mÂ²,52 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,utara,hos9731087,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos6761852/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,630,Juta,Prestige Bojongsari Sawangan Rumah Dp 0 Persen,"Bojong Sari, Depok"," Jalur Telepon,  Jogging Track, Tempat Jemuran,  Akses Parkir,  One Gate System, Track Lari,  AC, Masjid, Keamanan 24 jam,  Taman,  CCTV,  Playground, Wastafel, Jalur Telepon, Keamanan",3,1,72 mÂ²,52 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,utara,hos6761852,,,,,,,,,,,,,1,1,,,,
https://www.rumah123.com/properti/depok/hos11330999/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,85,Juta,Butuh rumah murah tapi pengen punya rumah. Over kredit subsidi aja,"Citayam, Depok","Lapangan Bola, Masjid, Keamanan 24 jam,  Taman, Jalur Telepon,  Keamanan",2,1,60 mÂ²,30 mÂ²,,rumah,shm - sertifikat hak milik,900 mah,1,2020,bagus,unfurnished,,hos11330999,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11347091/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,774,Juta,Rumah 2 lantai dekat pondok cabe Pamulang ciputat,"Cinangka, Depok"," Jalur Telepon,  Ac,  Jogging Track, Track Lari, Masjid, Keamanan 24 jam,  Taman, Taman, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",3,2,68 mÂ²,56 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,timur,hos11347091,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos11335427/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,"1,1",Miliar,Rumah Baru Modern 2 Lantai di Tanah Baru Depok,"Tanah Baru, Depok","Tempat Jemuran, Keamanan, Wastafel, Taman",3,2,92 mÂ²,100 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,,hos11335427,,,,,,,,,,,,,,,,,,
