url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,garasi,km. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,garages,floors,building age,property condition,furnishing,maid bedrooms,maid bathrooms,building orientation
https://www.rumah123.com/properti/depok/hos11365838/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,34",Miliar,Rumah Ready Dekat Pintu Tol Cijago Cibubur Harjamukti Cimanggis Depok,"Cimanggis, Depok"," Canopy,  Kitchen set,  pompa air wasser dan booster,  Kompor exhaust, One gate sistem,  Torn 650ltr",3,3,78 m²,110 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365838,,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365833/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,865,Juta,Rumah Baru Skandinavia Free BPHTB Dekat Tol Cijago Cimanggis Depok,"Cimanggis, Depok","Torn Air,  Jetpump, CCTV area,  security 24 jam,  One gate sistem",3,2,58 m²,76 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365833,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365840/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,7",Miliar,Rumah Ready Stok Skandinavia Dekat Jagakarsa Jakarta Selatan Dekat Pintu Tol Kukusan Beji Depok,"Beji, Depok","Carport 2 mobil, one gate system,  security 24 jam",3,3,77 m²,140 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365840,1,2,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365837/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"2,9",Miliar,Hunian Asri Mediterranean Classic Dekat Tol Krukut Limo Depok,"Limo, Depok","Full kitchen set, Lemari kayu,  AC 3 unit,  water heater",3,3,305 m²,200 m²,,rumah,shm - sertifikat hak milik,lainnya mah,1,2016,semi furnished,baru,,hos11365837,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365839/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,995,Juta,Rumah Konsep Skandinavia Indent Dekat Pintu Tol Kukusan Beji Depok,"Beji, Depok"," One gate sistem, Carport 2 mobil, smart lock door",3,2,72 m²,75 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365839,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365835/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,48",Miliar,Hunian Bisa Custom Dekat Exit Tol Andara Pangkalan Jati Cinere Depok,"Cinere, Depok","AC 2 unit,  Canopy, Carport 1 mobil",3,2,62 m²,73 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365835,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365834/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,42",Miliar,Rumah Tanah Baru Beji Depok Design Clasic Dekat Pintu Tol Kukusan,"Beji, Depok","carport, torrent,  jetpump",3,3,86 m²,110 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365834,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365826/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"2,3",Miliar,Rumah Cantik Pasti Suka Dekat Pintu Tol Kukusan Tanah Baru Beji Depok,"Beji, Depok","Carport 2 mobil,  service area, torrent,  jetpump",4,3,127 m²,170 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365826,1,2,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365841/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,59",Miliar,Rumah Strategis Area Premium Cinere Dekat Lebak Bulus Jakarta Selatan,"Cinere, Depok","Onegate, security 24jam",3,3,71 m²,84 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365841,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368227/#qid~510ee8b1-a222-441b-ac08-fcaed6bcab38,Rp,563,Juta,Hunian Cluster Harga Murah Banget Lokasi di Pekapuran Free Biaya,"Cimanggis, Depok"," One Gate System, Masjid, Keamanan 24 jam,  Taman,  CCTV, Taman, CCTV",2,1,61 m²,37 m²,,rumah,shm - sertifikat hak milik,1300 mah,1,2022,bagus,unfurnished,,hos11368227,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368227/#qid~a46d2d88-c5d1-456a-b6a3-6238edd0b9d9,Rp,563,Juta,Hunian Cluster Harga Murah Banget Lokasi di Pekapuran Free Biaya,"Cimanggis, Depok"," One Gate System, Masjid, Keamanan 24 jam,  Taman,  CCTV, Taman, CCTV",2,1,61 m²,37 m²,,rumah,shm - sertifikat hak milik,1300 mah,1,2022,bagus,unfurnished,,hos11368227,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368227/#qid~1d321138-4d73-485b-b1a0-80ddea547103,Rp,563,Juta,Hunian Cluster Harga Murah Banget Lokasi di Pekapuran Free Biaya,"Cimanggis, Depok"," One Gate System, Masjid, Keamanan 24 jam,  Taman,  CCTV, Taman, CCTV",2,1,61 m²,37 m²,,rumah,shm - sertifikat hak milik,1300 mah,1,2022,bagus,unfurnished,,hos11368227,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368207/#qid~f00285d5-b67c-4f11-8743-a9b2d2214690,Rp,590,Juta,Rumah 1 lantai dan 2 lantai paling murah d depok dekat pintu tol,"Sawangan, Depok","Taman, One Gate System",3,2,72 m²,72 m²,1,rumah,shm - sertifikat hak milik,1300 mah,2,,baru,unfurnished,,hos11368207,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368209/#qid~5049e190-8604-4bc6-b12a-655171ea42c2,Rp,"1,3",Miliar,"Rumah Minimalis di Depok, Jawa Barat","Depok II, Depok",Keamanan 24 jam,3,3,98 m²,100 m²,,rumah,shm - sertifikat hak milik,3300 mah,1,,,,,hos11368209,1,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368179/#qid~928bcf8c-17fb-4d56-ac75-d5355d507398,Rp,220,Juta,Rumah Minimalis Modern di Citayam Bebas Banjir Akses Mudah Asri,"Cilodong, Depok","Tempat Jemuran, Taman,  One Gate System, Keamanan 24 jam",2,1,60 m²,36 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,timur,hos11368179,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11368169/#qid~9777f3ac-a22b-4abe-b087-b1ff4ff01901,Rp,1,Miliar,"Rumah Minimalis siap huni. Lokasi di perumahan Jati Jajar, Depok","Tapos, Depok","Tempat Jemuran, Masjid, Lapangan Tenis, Taman",3,2,140 m²,140 m²,,rumah,shm - sertifikat hak milik,,2,,bagus,unfurnished,,hos11368169,,2,,,,,,,,,,,,,,,,
