url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,id iklan,kt. pembantu,km. pembantu,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,certificate,maid bedrooms,maid bathrooms,floors,building age,property condition,furnishing,carports,electricity,garages,building orientation
https://www.rumah123.com/properti/jakarta-barat/hos11307383/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"3,35",Miliar,Rumah Puri Mansion 2.5lt Renovasi Termurah!!!,"Puri Mansion, Jakarta Barat","Tempat Jemuran, Keamanan",4,3,120 m²,200 m²,,rumah,shm - sertifikat hak milik,3500 mah,2,2015,bagus,hos11307383,1,,,unfurnished,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos8541954/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,3,Miliar,Rumah Murah di Rawamangun,"Rawamangun, Jakarta Timur","Taman, Masjid,  Jalur Telepon,  Keamanan",4,3,179 m²,230 m²,2,rumah,shm - sertifikat hak milik,2200 mah,2,1993,sudah renovasi,hos8541954,1,,,unfurnished,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10973118/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"10,9",Miliar,Rumah Kuda laut 3lantai Hoek  Rapi Siap Huni,"Pantai Indah Kapuk, Jakarta Utara","Keamanan 24 jam, AC, Ac, Keamanan",,,,,,rumah,,,,,,hos10973118,,,,,,4,3,290 m²,500 m²,shm - sertifikat hak milik,1,1,3,2012,bagus,semi furnished,1,7700 mah,1,
https://www.rumah123.com/properti/jakarta-selatan/hos11304422/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"20,9",Miliar,"Rumah Tua Kemang, Jakarta Selatan","Kemang, Jakarta Selatan","Taman, Tempat Jemuran",4,3,1197 m²,500 m²,4,rumah,shm - sertifikat hak milik,,1,,butuh renovasi,hos11304422,,,,unfurnished,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11288092/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"6,8",Miliar,Rumah Full Renov Garden House PIK 8x17 - Selatan,"Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang,  Pemanas Air,  Taman,  Kitchen Set, Jalur Telepon,  Mesin Cuci,  CCTV, Ac, Kulkas,  AC, Wastafel,  Keamanan, Track Lari, Tempat Jemuran,  Jogging Track, Lapangan Basket",5,5,136 m²,300 m²,3,rumah,shm - sertifikat hak milik,7700 mah,3,2018,bagus,hos11288092,1,1,,semi furnished,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10747985/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,3,Miliar,"Rumah 6x15 di Pantai Indah Kapuk 2, 2 Lantai Unfurnished","Pantai Indah Kapuk, Jakarta Utara"," Kolam Renang,  Taman, Jogging Track, Track Lari, Keamanan",3,3,90 m²,120 m²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,hos10747985,1,1,,unfurnished,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11084909/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,477,Juta,Rumah Murah Cantik Cempaka mas Sumur Batu Kemayoran Sunter,"Sumur Batu, Jakarta Pusat","CCTV, Keamanan",2,2,22 m²,40 m²,,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,hos11084909,,,,unfurnished,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos9033690/#qid~db2fa181-5285-44dd-8818-8e5cff587799,Rp,32,Miliar,Kebayoran Baru Darmawangsa Lokasi Tenang Elite,"Kebayoran Baru, Jakarta Selatan","Taman, AC,  Keamanan",5,2,597 m²,350 m²,4,rumah,shm - sertifikat hak milik,5500 mah,1,2000,bagus,hos9033690,2,1,2,unfurnished,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11184131/#qid~db2fa181-5285-44dd-8818-8e5cff587799,Rp,"6,75",Miliar,Rumah PIK 2 10x18m Brandnew Minimalis,"Pantai Indah Kapuk, Jakarta Utara","Taman, Wastafel, Keamanan",4,4,180 m²,224 m²,2,rumah,"lainnya (ppjb,girik,adat,dll)",4400 mah,2,,baru,hos11184131,1,1,,unfurnished,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10838614/#qid~db2fa181-5285-44dd-8818-8e5cff587799,Rp,"14,5",Miliar,Gatot Subroto Komplek Dekat Area Bisnis Dan Perkantoran 510m,"Gatot Subroto, Jakarta Selatan"," AC,  Taman, Jalur Telepon, Keamanan",12,13,510 m²,500 m²,8,rumah,shm - sertifikat hak milik,9500 mah,2,2010,bagus,hos10838614,1,1,,semi furnished,barat,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos9542150/#qid~db2fa181-5285-44dd-8818-8e5cff587799,Rp,"11,8",Miliar,Dijual Kost di Kebayoran Lama Baru Siap Renov Omzet 105 Jt Perbln,"Kebayoran Lama, Jakarta Selatan","AC, Masjid,  CCTV,  Keamanan",57,57,491 m²,1500 m²,2,rumah,shm - sertifikat hak milik,5500 mah,4,2011,sudah renovasi,hos9542150,1,1,10,furnished,,,,,,,,,,,,,,,,
