url,price_in_rp,title,address,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,building_age,year_built,property_condition,building_orientation,garages,furnishing,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
https://www.rumah123.com/properti/depok/hos10901968/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,580000000.0,rumah 2 lantai di jatimulya depok 5 menit ke gdc dekat tol margonda,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Tempat Jemuran', ' CCTV', 'Taman', 'Wastafel', 'AC', ' Keamanan']",rumah,hos10901968,3,2,60.0,54.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,bagus,,2,unfurnished,2200.0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11050088/#qid~e19a6201-f35d-46d3-b41d-ad1925e9277b,775000000.0,rumah di depok 3 kamar dekat sd al azhar kawasan gdc depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,['Taman'],rumah,hos11050088,3,2,67.0,65.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,baru,utara,0,unfurnished,2200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos8383917/#qid~2a32200d-ed85-467d-a5ae-0ac33703137f,660000000.0,gdc depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Masjid', 'Kolam Renang']",rumah,hos8383917,2,1,78.0,36.0,0,shm - sertifikat hak milik,1300 mah,2,1,1,1,2021,baru,,1,unfurnished,1300.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11251369/#qid~29e57da4-9ae0-4422-8132-8c84af792680,725000000.0,rumah 2 lantai bata merah di cilodong carport 2 mobil,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"[' Jalur Telepon', ' Jogging Track', 'Track Lari', 'Masjid', 'Keamanan 24 jam', ' Taman', ' CCTV', 'Ac', 'Taman', 'AC', 'CCTV', 'Jalur Telepon', ' Keamanan']",rumah,hos11251369,3,2,66.0,56.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,baru,timur,2,unfurnished,2200.0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11170070/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,559000000.0,potongan dp 30 juta rumah nuansa bali 13 menit stasiun depok lama,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Taman', 'Wastafel', 'Keamanan 24 jam', 'AC']",rumah,hos11170070,2,1,74.0,36.0,0,shm - sertifikat hak milik,lainnya mah,0,0,1,0,2022,baru,,0,unfurnished,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11113611/#qid~365f5b2f-3b74-4287-8233-2a80ca5c16b5,995000000.0,rumah 2 lantai shm di kalimulya cilodong depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"[' Ac', ' Taman', ' CCTV', 'Jogging Track', ' Masjid', 'Jalur Telepon', ' Keamanan']",rumah,hos11113611,3,3,95.0,100.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,baru,timur,2,unfurnished,2200.0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11162854/#qid~e2fd375c-9055-42a6-a2aa-920eb4f1b090,725000000.0,"rumah 2 lantai di abdul gani setu cilodong depok, depok","Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Taman', 'Wastafel', 'One Gate System', 'AC']",rumah,hos11162854,3,2,66.0,56.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,,timur,0,unfurnished,2200.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11159913/#qid~e2fd375c-9055-42a6-a2aa-920eb4f1b090,699000000.0,rumah nyaman 2 lantai dekat gdc dekat setu cilodong depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Tempat Jemuran', ' Ac', ' Taman', 'Taman', 'One Gate System', 'AC', 'Jalur Telepon']",rumah,hos11159913,3,2,66.0,56.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,baru,timur,0,unfurnished,2200.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11368454/#qid~d0b711ad-e7c0-4366-841c-d589ce2c1a61,1350000000.0,rumah asri dan nyaman di jual di depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Tempat Jemuran', 'Lapangan Bulu Tangkis', ' Akses Parkir', ' One Gate System', ' Track Lari', 'Masjid', 'Keamanan 24 jam', ' Taman', ' Tempat Laundry', ' Playground', 'Wastafel', 'Jalur Telepon', 'Lapangan Basket']",rumah,hos11368454,4,3,120.0,150.0,1,shm - sertifikat hak milik,2200 mah,0,0,2,,,bagus,,0,unfurnished,2200.0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11365817/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,615000000.0,cluster free biaya - biaya dekat margonda di gdc tol dan stasiun krl depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"[' Mushola', 'Security 24H', ' One gate system', 'Taman minimalis', ' Carport 1 mobil']",rumah,hos11365817,3,2,60.0,60.0,0,shm - sertifikat hak milik,lainnya mah,0,0,2,0,2022,baru,,1,unfurnished,,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
