,price_in_rp,city,lat,long,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,maid_bedrooms,maid_bathrooms,floors,property_condition,garages,furnishing,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
44,1300000000.0, Bekasi,-6.2849775,106.970127,4.0,4.0,84.0,105.0,1,shm - sertifikat hak milik,0,0,2.0,baru,1,unfurnished,2200.0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1300000000.0, Bekasi,-6.2849775,106.970127,4.0,3.0,84.0,105.0,0,shm - sertifikat hak milik,0,0,2.0,baru,0,unfurnished,2200.0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,425000000.0, Bekasi,-6.2849775,106.970127,2.0,1.0,90.0,65.0,0,shm - sertifikat hak milik,0,0,1.0,sudah renovasi,0,unfurnished,2200.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,280000000.0, Bekasi,-6.2849775,106.970127,2.0,1.0,70.0,40.0,1,shm - sertifikat hak milik,0,0,1.0,baru,1,semi furnished,1300.0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,999000000.0, Bekasi,-6.2849775,106.970127,6.0,2.0,127.0,190.0,1,shm - sertifikat hak milik,1,1,2.0,bagus,1,semi furnished,3500.0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5750000000.0, Bekasi,-6.2849775,106.970127,5.0,4.0,400.0,398.0,2,shm - sertifikat hak milik,1,2,2.0,baru,1,unfurnished,6600.0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1500000000.0, Bekasi,-6.2849775,106.970127,3.0,2.0,100.0,136.0,1,shm - sertifikat hak milik,1,1,2.0,bagus,1,semi furnished,1300.0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6800000000.0, Bekasi,-6.2849775,106.970127,8.0,9.0,700.0,1400.0,2,shm - sertifikat hak milik,2,2,4.0,bagus,2,semi furnished,7700.0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3000000000.0, Bekasi,-6.2849775,106.970127,4.0,5.0,250.0,400.0,1,shm - sertifikat hak milik,0,0,1.0,bagus,1,unfurnished,3300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,168000000.0, Bekasi,-6.2849775,106.970127,2.0,1.0,60.0,19.0,1,shm - sertifikat hak milik,0,0,1.0,baru,1,unfurnished,1300.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,870000000.0, Bekasi,-6.2849775,106.970127,3.0,1.0,90.0,80.0,1,shm - sertifikat hak milik,0,0,2.0,baru,0,unfurnished,2200.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,495000000.0, Bekasi,-6.2849775,106.970127,2.0,1.0,86.0,45.0,1,shm - sertifikat hak milik,0,0,1.0,baru,1,unfurnished,1300.0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
