,certificate,property_condition,furnishing,city,lat,long,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,maid_bedrooms,maid_bathrooms,floors,garages,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
39,shm - sertifikat hak milik,baru,unfurnished, Tangerang,-6.2623791,106.5220235,4.0,4.0,105.0,134.0,0,0,0,1.0,0,3500.0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,hgb - hak guna bangunan,bagus,unfurnished, Bogor,-6.5183495,106.8512789,3.0,3.0,345.0,200.0,1,0,1,2.0,0,3300.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,shm - sertifikat hak milik,baru,unfurnished, Depok,-6.397933,106.7679611,2.0,1.0,68.0,40.0,1,0,0,1.0,0,1300.0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,shm - sertifikat hak milik,bagus,semi furnished, Bogor,-6.5183495,106.8512789,2.0,2.0,90.0,60.0,1,0,0,1.0,0,1300.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,shm - sertifikat hak milik,baru,unfurnished, Jakarta Barat,-6.1612309,106.5361526,4.0,3.0,144.0,400.0,2,1,1,3.0,2,2200.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,hgb - hak guna bangunan,baru,unfurnished, Bogor,-6.3731789,106.55458,1.0,1.0,66.0,24.0,0,0,0,1.0,0,1300.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,shm - sertifikat hak milik,bagus,unfurnished, Jakarta Selatan,-6.2725851,106.8055434,4.0,3.0,575.0,264.0,0,0,0,1.0,0,3300.0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,shm - sertifikat hak milik,baru,unfurnished, Bekasi,-6.2573002,106.9468458,3.0,2.0,72.0,90.0,2,0,0,2.0,0,2200.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,shm - sertifikat hak milik,baru,unfurnished, Tangerang,-6.2433511,106.6174456,3.0,2.0,85.0,60.0,1,0,0,2.0,0,1300.0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,shm - sertifikat hak milik,bagus,unfurnished, Bekasi,-6.243724,106.965328,3.0,2.0,200.0,143.0,2,1,1,2.0,0,2200.0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
